Title,Element Name,Weight,Data Value
"Tool Grinders, Filers, and Sharpeners",Active Learning,608,3.12
"Umpires, Referees, and Other Sports Officials",Active Learning,608,3.12
Upholsterers,Active Learning,608,3.12
Veterinary Technologists and Technicians,Active Learning,608,3.12
Web Administrators,Active Learning,608,3.12
Actors,Active Learning,608,3
Agricultural Technicians,Active Learning,608,3
Aircraft Mechanics and Service Technicians,Active Learning,608,3
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Active Learning,608,3
Animal Control Workers,Active Learning,608,3
Automotive Master Mechanics,Active Learning,608,3
Automotive Specialty Technicians,Active Learning,608,3
Avionics Technicians,Active Learning,608,3
Bakers,Active Learning,608,3
Biomass Power Plant Managers,Active Learning,608,3
Boilermakers,Active Learning,608,3
Brokerage Clerks,Active Learning,608,3
Camera and Photographic Equipment Repairers,Active Learning,608,3
Chemical Equipment Operators and Tenders,Active Learning,608,3
Chemical Technicians,Active Learning,608,3
Childcare Workers,Active Learning,608,3
Commercial Divers,Active Learning,608,3
"Computer-Controlled Machine Tool Operators, Metal and Plastic",Active Learning,608,3
"Computer, Automated Teller, and Office Machine Repairers",Active Learning,608,3
Construction Carpenters,Active Learning,608,3
"Cooks, Institution and Cafeteria",Active Learning,608,3
Cooling and Freezing Equipment Operators and Tenders,Active Learning,608,3
Copy Writers,Active Learning,608,3
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Active Learning,608,3
Customer Service Representatives,Active Learning,608,3
Customs Brokers,Active Learning,608,3
Dental Assistants,Active Learning,608,3
Dental Hygienists,Active Learning,608,3
Dental Laboratory Technicians,Active Learning,608,3
Dietetic Technicians,Active Learning,608,3
"Dispatchers, Except Police, Fire, and Ambulance",Active Learning,608,3
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Active Learning,608,3
Electrical Power-Line Installers and Repairers,Active Learning,608,3
Electronic Drafters,Active Learning,608,3
Energy Brokers,Active Learning,608,3
Excavating and Loading Machine and Dragline Operators,Active Learning,608,3
Executive Secretaries and Executive Administrative Assistants,Active Learning,608,3
Farm Equipment Mechanics and Service Technicians,Active Learning,608,3
Fiberglass Laminators and Fabricators,Active Learning,608,3
First-Line Supervisors of Agricultural Crop and Horticultural Workers,Active Learning,608,3
First-Line Supervisors of Housekeeping and Janitorial Workers,Active Learning,608,3
First-Line Supervisors of Logging Workers,Active Learning,608,3
First-Line Supervisors of Personal Service Workers,Active Learning,608,3
Fish and Game Wardens,Active Learning,608,3
Flight Attendants,Active Learning,608,3
Floral Designers,Active Learning,608,3
Food Science Technicians,Active Learning,608,3
Forest and Conservation Technicians,Active Learning,608,3
Forest and Conservation Workers,Active Learning,608,3
Forest Fire Inspectors and Prevention Specialists,Active Learning,608,3
Forest Firefighters,Active Learning,608,3
Foresters,Active Learning,608,3
Gaming Supervisors,Active Learning,608,3
Hazardous Materials Removal Workers,Active Learning,608,3
Home Health Aides,Active Learning,608,3
Industrial Engineering Technicians,Active Learning,608,3
License Clerks,Active Learning,608,3
"Maintenance and Repair Workers, General",Active Learning,608,3
"Makeup Artists, Theatrical and Performance",Active Learning,608,3
Mechanical Door Repairers,Active Learning,608,3
Medical and Clinical Laboratory Technicians,Active Learning,608,3
Medical Appliance Technicians,Active Learning,608,3
Medical Equipment Preparers,Active Learning,608,3
Medical Equipment Repairers,Active Learning,608,3
"Mixing and Blending Machine Setters, Operators, and Tenders",Active Learning,608,3
"Model Makers, Wood",Active Learning,608,3
"Morticians, Undertakers, and Funeral Directors",Active Learning,608,3
Motorboat Operators,Active Learning,608,3
Motorcycle Mechanics,Active Learning,608,3
Municipal Clerks,Active Learning,608,3
Municipal Firefighters,Active Learning,608,3
Music Composers and Arrangers,Active Learning,608,3
Neurodiagnostic Technologists,Active Learning,608,3
Nuclear Monitoring Technicians,Active Learning,608,3
Occupational Therapy Aides,Active Learning,608,3
